gbifid	x	y	plant	eventdate	day	month	year
616839893	36.86	-2.77	sage				
616839869	36.86	-2.77	sage				
616839851	36.86	-2.77	sage				
616839829	36.86	-2.88	sage				
616839806	36.86	-2.88	sage				
616839781	36.86	-3	sage				
616839531	36.86	-2.77	sage				
30889659	36.860001	-4.01	sage	1988-08-12T02:00Z	12	8	1988
30889578	36.860001	-4.12	sage	1997-07-30T02:00Z	30	7	1997
231007279	36.8667	-2.78333	sage				
232947414	36.868046	-3.83803	sage	2003-07-01T02:00Z	1	7	2003
232947412	36.868317	-3.83792	sage	2003-07-01T02:00Z	1	7	2003
30889661	36.869999	-2.78	sage	1994-06-08T02:00Z	8	6	1994
30889290	36.869999	-3	sage	1997-07-30T02:00Z	30	7	1997
232947882	36.872737	-2.849603	sage	2006-03-30T02:00Z	30	3	2006
232947448	36.8741	-3.765085	sage	2004-04-05T02:00Z	5	4	2004
232947579	36.875645	-3.737396	sage	2006-09-28T02:00Z	28	9	2006
895163560	36.877	-3.735	sage	1977-06-10T01:00Z	10	6	1977
199502588	36.877	-3.847	sage	2003-07-01T02:00Z	1	7	2003
1584385024	36.87722	-3.73673	sage	2015-05-21T02:00Z	21	5	2015
1142651562	36.87874982	-3.9011522741	sage				
232948045	36.879416	-3.708785	sage	2006-09-07T02:00Z	7	9	2006
232947580	36.879508	-3.724854	sage	2006-09-28T02:00Z	28	9	2006
232947416	36.880759	-3.899303	sage	2003-07-01T02:00Z	1	7	2003
232947434	36.885348	-3.909939	sage	2003-09-18T02:00Z	18	9	2003
232947605	36.888999	-3.730915	sage	2006-01-14T01:00Z	14	1	2006
199501923	36.894	-3.96	sage	1982-07-16T02:00Z	16	7	1982
232947424	36.89656	-3.967234	sage	2003-07-09T02:00Z	9	7	2003
232947582	36.897617	-3.707023	sage	2006-09-28T02:00Z	28	9	2006
1142652854	36.8987490387	-4.0111546202	sage				
1142652818	36.8987490387	-4.0111546202	sage				
232947425	36.902319	-3.958518	sage	2003-07-09T02:00Z	9	7	2003
199502620	36.90291	-4.0725	sage	1979-06-26T01:00Z	26	6	1979
232947492	36.90349	-4.025543	sage	2002-07-12T02:00Z	12	7	2002
232947380	36.903518	-4.079375	sage	2003-06-17T02:00Z	17	6	2003
232947379	36.90424	-4.080317	sage	2003-06-17T02:00Z	17	6	2003
232947968	36.906102	-2.89225	sage	2005-09-01T02:00Z	1	9	2005
910472907	36.908089	-3.729793	sage				
910472882	36.908089	-3.729793	sage				
218536316	36.9087485968	-4.0711558846	sage				
218536315	36.9087485968	-4.0711558846	sage				
218536287	36.9087485968	-4.0711558846	sage				
218534797	36.9087485968	-4.0711558846	sage				
218534691	36.9087485968	-4.0711558846	sage				
218534687	36.9087485968	-4.0711558846	sage				
218534668	36.9087485968	-4.0711558846	sage				
1142652833	36.9087487998	-4.0511555157	sage				
1143063856	36.9087498146	-3.9511536695	sage				
218535771	36.9087498146	-3.9511536695	sage				
218535770	36.9087498146	-3.9511536695	sage				
218534458	36.9087611093	-2.8311328072	sage				
1142585326	36.9087622115	-2.72113074	sage				
218534471	36.9087622115	-2.72113074	sage				
997595640	36.91	-2.64	sage	2007-12-06T01:00Z	6	12	2007
232947474	36.910488	-4.015747	sage	2004-06-10T02:00Z	10	6	2004
199502715	36.911	-4.016	sage	1993-01-21T01:00Z	21	1	1993
199502714	36.911	-4.016	sage	1993-03-25T01:00Z	25	3	1993
199502713	36.911	-4.016	sage	1993-05-13T02:00Z	13	5	1993
199502712	36.911	-4.016	sage	1993-06-08T02:00Z	8	6	1993
199502711	36.911	-4.016	sage	1993-07-27T02:00Z	27	7	1993
199502710	36.911	-4.016	sage	1993-09-02T02:00Z	2	9	1993
199502709	36.911	-4.016	sage	1993-10-07T01:00Z	7	10	1993
232947449	36.911515	-3.765605	sage	2004-04-05T02:00Z	5	4	2004
232947438	36.911645	-4.053682	sage	2004-01-29T01:00Z	29	1	2004
415623242	36.91205	-4.06926	sage	2004-03-07T01:00Z	7	3	2004
232947437	36.917333	-4.065807	sage	2004-01-29T01:00Z	29	1	2004
218534510	36.918748967	-4.0511556731	sage				
1234484329	36.92	-3.92	sage	1981-07-20T02:00Z	20	7	1981
199501920	36.92212	-4.00962	sage	1982-05-26T02:00Z	26	5	1982
232947603	36.925761	-3.715839	sage	2006-01-14T01:00Z	14	1	2006
232947680	36.932503	-3.680823	sage	2006-06-28T02:00Z	28	6	2006
232947842	36.938117	-2.701441	sage	2005-04-20T02:00Z	20	4	2005
232947841	36.940322	-2.700051	sage	2005-04-20T02:00Z	20	4	2005
232947840	36.942383	-2.698853	sage	2005-04-20T02:00Z	20	4	2005
199502764	36.94697	-4.01803	sage	1980-05-09T02:00Z	9	5	1980
617991089	36.95	-3.67	sage				
617698860	36.95	-3.56	sage				
617346809	36.95	-3.78	sage				
616915606	36.95	-3.67	sage				
30889681	36.950001	-4.24	sage	1991-05-24T02:00Z	24	5	1991
232947394	36.951683	-3.865453	sage	2003-06-24T02:00Z	24	6	2003
232947682	36.959327	-3.702955	sage	2006-06-28T02:00Z	28	6	2006
232947654	36.959496	-3.880402	sage	2006-04-12T02:00Z	12	4	2006
923268179	36.9618	15.010926	sage	2012-04-05T02:00Z	5	4	2012
232948040	36.963747	-3.753827	sage	2006-07-04T02:00Z	4	7	2006
232947541	36.995914	-3.802751	sage	2006-07-12T02:00Z	12	7	2006
218535123	36.9987101269	-7.9312264442	sage				
218535117	36.9987101269	-7.9312264442	sage				
218536317	36.9987489857	-4.1811593329	sage				
1142585424	36.9987512225	-3.9611552725	sage				
218536283	36.9987512225	-3.9611552725	sage				
1142585415	36.9987524405	-3.8411530522	sage				
1142585410	36.9987524405	-3.8411530522	sage				
1143002297	36.9987535557	-3.7311510134	sage				
218534541	36.9987546696	-3.6211489713	sage				
232947998	37.000057	-3.498659	sage				
232947174	37.001961	-3.513148	sage				
232947660	37.003303	-3.822902	sage	2006-04-19T02:00Z	19	4	2006
232947544	37.00559	-3.929422	sage	2006-07-12T02:00Z	12	7	2006
232947261	37.009946	-3.50077	sage				
232948039	37.01142	-3.714934	sage	2006-07-04T02:00Z	4	7	2006
232947545	37.015578	-3.945449	sage	2006-07-12T02:00Z	12	7	2006
232947223	37.018187	-3.489605	sage				
232947242	37.018355	-3.505445	sage				
232947186	37.021813	-3.484581	sage				
232947652	37.036954	-3.932345	sage	2006-03-29T02:00Z	29	3	2006
618345125	37.04	-3.56	sage				
618195196	37.04	-3.44	sage				
618195003	37.04	-3.56	sage				
618194920	37.04	-3.56	sage				
618003803	37.04	-3.56	sage				
618003557	37.04	-3.56	sage				
618003417	37.04	-3.56	sage				
618003156	37.04	-3.56	sage				
618003121	37.04	-3.56	sage				
618003083	37.04	-3.56	sage				
618002382	37.04	-3.56	sage				
617699538	37.04	-3.56	sage				
617699524	37.04	-3.56	sage				
617699379	37.04	-3.67	sage				
617699189	37.04	-3.44	sage				
617699038	37.04	-3.56	sage				
617699008	37.04	-3.56	sage				
617698997	37.04	-3.44	sage				
617698617	37.04	-3.56	sage				
617689956	37.04	-3.56	sage				
617689937	37.04	-3.56	sage				
617223285	37.04	-3.56	sage				
616916881	37.04	-3.56	sage				
616916794	37.04	-3.44	sage				
616916725	37.04	-3.56	sage				
616916357	37.04	-3.56	sage				
616916322	37.04	-3.56	sage				
616916242	37.04	-3.56	sage				
616915785	37.04	-3.56	sage				
616915773	37.04	-3.56	sage				
616915756	37.04	-3.44	sage				
616915733	37.04	-3.44	sage				
616915476	37.04	-3.56	sage				
616915463	37.04	-3.56	sage				
616915447	37.04	-3.56	sage				
616915428	37.04	-3.56	sage				
616915413	37.04	-3.56	sage				
616915396	37.04	-3.44	sage				
616914929	37.04	-3.56	sage				
616914256	37.04	-3.44	sage				
616914024	37.04	-3.56	sage				
616891861	37.04	-3.56	sage				
616891805	37.04	-3.56	sage				
616891791	37.04	-3.56	sage				
616891778	37.04	-3.56	sage				
616891756	37.04	-3.56	sage				
616891733	37.04	-3.56	sage				
616891716	37.04	-3.56	sage				
616891702	37.04	-3.56	sage				
616891687	37.04	-3.44	sage				
616891663	37.04	-3.44	sage				
232947243	37.042299	-3.496215	sage				
232947288	37.044942	-3.560803	sage				
232947542	37.047446	-3.873152	sage	2006-07-12T02:00Z	12	7	2006
232947536	37.049129	-3.863612	sage	2006-07-12T02:00Z	12	7	2006
30889672	37.049999	-3.45	sage	1981-07-11T02:00Z	11	7	1981
30889671	37.049999	-3.45	sage	1988-08-01T02:00Z		8	1988
30889670	37.049999	-3.45	sage	1972-08-01T01:00Z		8	1972
30889665	37.049999	-3.45	sage	1984-07-13T02:00Z	13	7	1984
30889150	37.049999	-3.56	sage	1998-10-01T02:00Z	1	10	1998
30889146	37.049999	-3.45	sage	1998-08-11T02:00Z	11	8	1998
232947485	37.05	-2.825285	sage	2001-05-23T02:00Z	23	5	2001
232947981	37.050957	-3.562107	sage				
232947538	37.054657	-3.862157	sage	2006-07-12T02:00Z	12	7	2006
232947668	37.055073	-3.765877	sage	2006-05-30T02:00Z	30	5	2006
